n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
103,Indio Yuri e indio Iquito,Anónimo. Expedición Malaspina,1789,Pintura,acuarela,papel,18,24.5,"Museo de América, Madrid. Inv: 02215"," Del Museo de América: ""Se representa a un indio yuri y a otro iquito, de la cuenca del Amazonas. Bajo cada uno de ellos sendas inscripciones donde se indica la procedencia de cada uno y algunas características sobre su forma de vida y costumbres en general. El indio yuri a la izquierda viste pantalón corto y adorno de flores y plumas sobre la cabeza. Sujeta una lanza con una mano y sobre la otra el pájaro sol o ""Yutipichu"". El indio iquito figura de espaldas y desnudo, con una lanza y una banda de plumas cruzada. Realizado durante la expedición Malaspina, que tuvo lugar entre 1789 y 1794. El comandante Alejandro Malaspina dirigió la expedición organizada por la corona española para recorrer sus posesiones americanas, según un plan presentado por el propio marino. El material reunido se encuentra disperso en diferentes instituciones de España, Inglaterra, Argentina y Chile"". ",1750 - 1810,Amazonía,Perú,NA,18HG9ZnjfYvPyDJttmHrUgZEqjl7AqNdI,bauza,http://ceres.mcu.es/pages/Viewer?accion=4&AMuseo=MAM&Museo=MAM&Ninv=02215,España,NA,NA,NA,NA,NA,NA,NA,NA,figura,castas,lamina,true,110.jpg
104,Indio Iquito,Anónimo. Expedición Malaspina,1789,Pintura,acuarela,papel,17,11,"Museo de América, Madrid. Inv: 02219","Descripción del Museo de América:Figura de un indio Iquito desnudo y de espaldas al espectador, con el único adorno de una banda de plumas que le cruza la espalda. Tradicionalmente este dibujo, basado en un apunte inicial (Nº Inventario 02215), ha sido atribuido a alguno de los acompañantes de Tadeo Hanke durante sus exploraciones en el área del río Marañón, tras el atraque en el puerto de El Callao. Realizado durante la expedición Malaspina, que tuvo lugar entre 1789 y 1794. El comandante Alejandro Malaspina dirigió la expedición organizada por la corona española para recorrer sus posesiones americanas, según un plan presentado por el propio marino. El material reunido se encuentra disperso en diferentes instituciones de España, Inglaterra, Argentina y Chile",1750 - 1810,Amazonía,Perú,NA,18F_wVeY8Q1KdX9lTgJp1gw-lNBnh0ue3,bauza,http://ceres.mcu.es/pages/Viewer?accion=4&AMuseo=MAM&Museo=MAM&Ninv=02219,España,NA,NA,NA,NA,NA,NA,NA,NA,figura,castas,lamina,true,111.jpg
105,Figura de la relación de gobierno del Virrey Don Francisco Gil de Lemos y Taboada,Don Francisco Gil de Lemos y Taboada,1796,Manuscrito,acuarela,papel,NI,NI,"Gil de Lemos y Taboada, Francisco, and Vallenari. “Relación de gobierno que el Exmo. Sr. frey Don Francisco Gil de Lemos y Taboada, Virrey del Perú, entrega a su succesor el Exmo. Señor de Vallenari. Año de 1796”, 1796: folio 78.","Los ejemplares visuales y comentarios etnográficos sobre las tribus del amazonas peruano habrían sido relatadas por parte de Hipolito Unuane1 en el Mercurio Peruano, un periódico a cargo de la Sociedad de amigos del país, órgano de difusión de las ideas ilustradas y de la administración del virrey Gil de Taboada y Lemus. Así mismo, las imágenes en habrían sido utilizadas como modelos para ser copiadas en la relación de gobierno que el virrey Gil de Taboada dirigió a su sucesor el Marques Osorno. Esta relación, concluida en 1796, fue elaborada por dos de los asesores de este gobernante, Hipólito Unanue y el contable José Ignacio de Lecuanda.",1750 - 1810,Amazonía,Perú,NA,189TR0TPpQpI2cVLiaNGb3zike3b_G_aR,bauza,https://granatensis.ugr.es/discovery/fulldisplay?docid=alma991009365349704990&context=L&vid=34CBUA_UGR:VU1&search_scope=MyInstitution&tab=Granada&lang=es,Perú,NA,NA,NA,NA,NA,NA,NA,NA,figura,castas,lamina,true,112.jpg
106,Figura de la relación de gobierno del Virrey Don Francisco Gil de Lemos y Taboada (Detalle),Don Francisco Gil de Lemos y Taboada,1796,Manuscrito,acuarela,papel,NI,NI,"Gil de Lemos y Taboada, Francisco, and Vallenari. “Relación de gobierno que el Exmo. Sr. frey Don Francisco Gil de Lemos y Taboada, Virrey del Perú, entrega a su succesor el Exmo. Señor de Vallenari. Año de 1796”, 1796: folio 78.","Los ejemplares visuales y comentarios etnográficos sobre las tribus del amazonas peruano habrían sido relatadas por parte de Hipolito Unuane1 en el Mercurio Peruano, un periódico a cargo de la Sociedad de amigos del país, órgano de difusión de las ideas ilustradas y de la administración del virrey Gil de Taboada y Lemus. Así mismo, las imágenes en habrían sido utilizadas como modelos para ser copiadas en la relación de gobierno que el virrey Gil de Taboada dirigió a su sucesor el Marques Osorno. Esta relación, concluida en 1796, fue elaborada por dos de los asesores de este gobernante, Hipólito Unanue y el contable José Ignacio de Lecuanda.",1750 - 1810,Amazonía,Perú,NA,187MBggHXPZrdDIVBrwONfdFeS5znrsuc,bauza,https://granatensis.ugr.es/discovery/fulldisplay?docid=alma991009365349704990&context=L&vid=34CBUA_UGR:VU1&search_scope=MyInstitution&tab=Granada&lang=es,Perú,NA,NA,NA,NA,NA,NA,NA,NA,figura,castas,lamina,true,113.jpg
107,"Quadro de Historia Natural, Civil, y Geográfica del Reyno del Perú. Salvajes (Detalle)",Luis Thiebaut. Comisionado por José Ignacio Lecuanda,1799,Pintura,Óleo,lienzo,118.5,331,"Museo Nacional de Ciencias Naturales, Madrid","Es un cuadro único por su composición y por el modo de transmitir la información. Esta obra conjunta del ilustrado vasco José Ignacio de Lequanda y el pintor francés Louis Thiébaut, que se prolongó a lo largo de cinco años, es una auténtica enciclopedia mural del Perú del siglo XVIII. Un total de  195 escenas y 381 figuras describen la geografía física, la historia, la etnografía, la fauna y la flora del Virreinato peruano. No se conoce otra obra semejante en la historia colonial europea.",1750 - 1810,Montañas andinas,Perú,NA,184I-qqRSMTEwVCzpPXXQzyk3HBy1En65,quadro del peru,https://artsandculture.google.com/asset/quadro-de-historia-natural-civil-y-geogr%C3%A1fica-del-reyno-del-per%C3%BA-jos%C3%A9-ignacio-de-lequanda/igE86USP5Q1cYg?hl=es,Peru,baston,NA,objetos,1,abajo,NA,NA,NA,equilibrio,castas,cuadro,true,114.jpg
108,India en traje de Gala,Vicente Albán,1783,Pintura,Óleo,lienzo,80,109,"Museo de América, Madrid","6 cuadros dedicados a la representación de tipos humanos, que respondían a modelos tomados de la sociedad local. Estas figuras, vestidas y adornadas a la moda del momento en la Audiencia de Quito (actual República de Ecuador), se situaban en paisajes abiertos en los que se incluían, como en este caso, diferentes elementos de la naturaleza autóctona, especialmente árboles frutales, de cuyas ramas colgaban unos productos que también eran representados abiertos y a gran tamaño. Con ello se mostraban todas las características de interés para los estudios botánicos. El indio aquí representado figura en actitud de transportar el cargamento de frutos a algún mercado de cualquier población. A pesar de la apariencia general del indígena en el que resalta su modo peculiar de llevar la carga, la lanza en la mano y las pinturas del rostro, referidas a su condición de no ""civilizado"", la presencia del machete indica su contacto con los núcleos mestizos. Estas obras están estrechamente relacionadas con los objetivos científicos de las expediciones, que en el siglo XVIII recorrieron gran parte de América, facilitando numerosa información para la clasificación de los diferentes reinos de la Naturaleza. La serie formó parte de las colecciones del Museo de Ciencias Naturales de Madrid y desde él pasó a integrarse en la Sección Etnográfica del Museo Arqueológico Nacional hasta 1941, año en el que ingresó en el recién creado Museo de América de Madrid.",1750 - 1810,Amazonía,Ecuador,NA,17uxfAua1oLComUrntRcubSlwzEX3ZBtF,alban,http://ceres.mcu.es/pages/Viewer?accion=4&AMuseo=MAM&Museo=MAM&Ninv=00072,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,equilibrio,castas,cuadro,true,115.jpg
109,India en traje de Gala (Detalle),Vicente Albán,1783,Pintura,Óleo,lienzo,81,110,"Museo de América, Madrid","7 cuadros dedicados a la representación de tipos humanos, que respondían a modelos tomados de la sociedad local. Estas figuras, vestidas y adornadas a la moda del momento en la Audiencia de Quito (actual República de Ecuador), se situaban en paisajes abiertos en los que se incluían, como en este caso, diferentes elementos de la naturaleza autóctona, especialmente árboles frutales, de cuyas ramas colgaban unos productos que también eran representados abiertos y a gran tamaño. Con ello se mostraban todas las características de interés para los estudios botánicos. El indio aquí representado figura en actitud de transportar el cargamento de frutos a algún mercado de cualquier población. A pesar de la apariencia general del indígena en el que resalta su modo peculiar de llevar la carga, la lanza en la mano y las pinturas del rostro, referidas a su condición de no ""civilizado"", la presencia del machete indica su contacto con los núcleos mestizos. Estas obras están estrechamente relacionadas con los objetivos científicos de las expediciones, que en el siglo XVIII recorrieron gran parte de América, facilitando numerosa información para la clasificación de los diferentes reinos de la Naturaleza. La serie formó parte de las colecciones del Museo de Ciencias Naturales de Madrid y desde él pasó a integrarse en la Sección Etnográfica del Museo Arqueológico Nacional hasta 1941, año en el que ingresó en el recién creado Museo de América de Madrid.",1750 - 1810,Amazonía,Ecuador,NA,17mgqt4px2A8pFtFS_g3Mu0NpgmHoTOqd,alban,http://ceres.mcu.es/pages/Viewer?accion=4&AMuseo=MAM&Museo=MAM&Ninv=00072,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,equilibrio,castas,cuadro,true,116.jpg
110,"Géographie des plantes près de l´Equateur. Tableau physique des Andes et pais (sic) voisins, dressé sur les observations et mesures faites sur les lieus en 1799-1803",Alexander von Humboldt,1803,Pintura,Acuarela,papel,38.7,50.3,"Museo Nacional de Colombia, reg: 1204","La estadía de más de un año en la audiencia de Quito, permitiría a Humboldt y Bonpland consolidar sus investigaciones acerca de la Geografía de las plantas. Fue durante su estadía en Guayaquil donde elaboró esta acuarela que acompañaba un texto del que era parte íntegra. Allí se realizaba una nivelación geográfica de las plantas por medio de un corte vertical que hacía visible sus ubicaciones relativas en relación con la altitud. Esa imagen ha sido calificada como un paradigma de la cartografía vertical y de la visualización científica. Humboldt envió estos materiales a José Celestino Mutis a través de Juan Pío Montúfar (1758–1819), marqués de Selva Alegre, quien a su vez los envió, con dos meses de retraso, por medio de Francisco José de Caldas. La obra sería publicada por Humboldt en 1807 en Paris acompañada de un grabado basado en la acuarela original. También será publicada una traducción al español elaborada por Jorge Tadeo Lozano en 1809 en el Semanario del Nuevo Reino de Granada editado por José Francisco Caldas. En el “Prefación” elaborado por Caldas para contextualizar la obra de Humboldt se lee que no se la pudo acompañar con la lámina por “falta de planchas y de Gravadores” y se ofrecen los servicios de don Antonio García para calcar una copia exacta y así “sacar todo el fruto que promete la Geografía de las plantas”.",1750 - 1810,Montañas andinas,Ecuador,NA,17jX9UhKA_o4zqBy-iHjMEsfrwzyYxQ1F,vertical,https://artsandculture.google.com/asset/geograf%C3%ADa-de-las-plantas-cerca-del-ecuador/5gH6hpMRfWxlfQ?hl=es,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,fondo,mapa,lamina,true,117.jpg
111,"Géographie des plantes equinoxiales. Essai sur la géographie des plantes, accompagné d'un tableau physique des régions équinoxiales.",Alexander von Humboldt,1805,Grabado,Grabado,papel,NI,NI,"Géographie des plantes equinoxiales. Essai sur la géographie des plantes, accompagné d'un tableau physique des régions équinoxiales. Paris: chez Fr. Schoell; Tübingen: chez J. G. Cotta 1805/7.","La versión Europea en francés de 1805, grabada y publicada en blanco y negro y en color (1807, Paris: Levrault, Schoell et Compagnie) con reimpresión en francés (Schoell) y versión alemana en 1807 (Tübingen: Cotta). Humboldtiana Neogranadina, II, p. 246.",1750 - 1810,Montañas andinas,Ecuador,NA,17hzbuJyhew_QAz1T4ErpbcZB4vxNMEkS,vertical,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~280014~90053203:Geographie-des-Plantes-Equinoxiales,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,fondo,mapa,libro,true,118.jpg
112,"Vues de la Base mesureé dans la plaine d'Yarouqui, depuis Carabourou jusqu'a Oyambaro",Charles-Marie La Condamine,1751,Grabado,Grabado,papel,NI,NI,"La Condamine, Charles-Marie de (1701-1774) Auteur du texte. 1751. Journal du voyage fait par ordre du roi, a l’Équateur, servant d’introduction historique a la Mesure des trois premiers degrés du méridien . Par M. de La Condamine. https://gallica.bnf.fr/ark:/12148/bpt6k1051290z."," En Humboldt’s Pictorial Science: An Analysis of the Tableau physique des Andes et pays voisins Afirma, Sylvie Romanowski afirma: “It is as if Humboldt looked at the correctly scaled representation of Chimborazo, zoomed in on two of La Condamine’s tiny mountains, and blew them up to large proportions”.",1750 - 1810,Montañas andinas,Ecuador,NA,17eK1qi5F2Nw5dVX7y8X0CA-S5wsKnA4G,vertical,https://gallica.bnf.fr/ark:/12148/bpt6k1051290z/f71.item,Francia,NA,NA,NA,NA,NA,NA,NA,NA,fondo,vista,libro,true,119.jpg
113,Coupe verticale des montagnes vivaroises. Limites respectives des climats des plantes et mesures barométriques de leur hauteur sur le niveau de la Méditerranée,Abbé Jean-Louis Giraud-Soulavie,1784,Grabado,Grabado,papel,NI,NI,"Güttler, Nils, «Drawing the Line: Mapping Cultivated Plants and Seeing Nature in Nineteenth-Century Plant Geography». New Perspectives on the History of Life Sciences and Agriculture. eds. Denise Phillips y Sharon Kingsland. Basel: Springer, 2015. 27-52.","El mapa muestra la sucesión de flora delimitada por gradientes climáticos latitudinales.Güttler argumenta que este fue un modelo para el mapa de Humboldt. Güttler, Nils, «Drawing the Line: Mapping Cultivated Plants and Seeing Nature in Nineteenth-Century Plant Geography». New Perspectives on the History of Life Sciences and Agriculture. eds. Denise Phillips y Sharon Kingsland. Basel: Springer, 2015. 27-52.",1750 - 1810,Europa central,Francia,NA,19sAF9aNBsiZaqewabjj2bCYK_jk9S665,vertical,https://en.wikipedia.org/wiki/Jean-Louis_Giraud_Soulavie#/media/File:Soulavie_Chart.jpg,Francia,NA,NA,NA,NA,NA,NA,NA,NA,fondo,vista,libro,true,120.jpg
114,Memoria sobre la distribución de las plantas que se cultivan en la vecindad del Equador,Francisco José de Caldas,1803,Pintura,Dibujo,papel,NI,NI,"Nieto Olarte, Mauricio. La obra cartográfica de Francisco José de Caldas. Bogota: Uniandes-ACCEFYN-ACH-ICANH, 2006","Cuando Caldas envió a mutis la copia de la acuarela y el manuscrito de Humboldt en abril de 1802, añadió un texto suyo al que se refirió como “friolera”, allí le comunicaba al director de la Expedición botánica que venía trabajando de manera independiente en un tema semejante al del prusiano que también estaba acompañado de una imagen manuscrita con perfiles y elevaciones barométricas de plantas. Este texto es la continuación del Plan de un viaje proyectado de Quito a la América setentrional que Caldas había propuesto a Mutis exactamente un año antes en abril de 1802.",1750 - 1810,Montañas andinas,Ecuador,NA,19lPZW3GhfhA-ISnM5ieymBi5JKK3meCM,vertical,http://www.saebogota.unal.edu.co/DIRACAD/catedras/2016_II/huellas_2016_II/docs/Mapas%20de%20Caldas-2016.pdf,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,fondo,mapa,manuscrito,true,121.jpg
115,"Nivelación de 30 especies de plantas puestas sobre la vista occidental de Imbabura, montañas en las cercanías de Ibarra.",Francisco José de Caldas,1803,Pintura,Dibujo,papel,NI,NI,"Nieto Olarte, Mauricio. La obra cartográfica de Francisco José de Caldas. Bogota: Uniandes-ACCEFYN-ACH-ICANH, 2007","También le envió una imagen en septiembre de 1802, es decir, seis meses antes de conocer la acuarela de Humboldt.  Esta coincidencia entre los programas de investigación ha llevado a la historiografía de la ciencia contemporánea a calificar a Humboldt y a Caldas como “gestores simultáneos”  que ejercieron entre si una “influencia mutua” para la postulación de la disciplina científica de la fitogeografía o la Geografía de las plantas.",1750 - 1810,Montañas andinas,Ecuador,NA,19dmB1qdTWC31hyryHe9HRiE4YZ5LshX1,vertical,http://www.saebogota.unal.edu.co/DIRACAD/catedras/2016_II/huellas_2016_II/docs/Mapas%20de%20Caldas-2016.pdf,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,fondo,mapa,manuscrito,true,122.jpg
116,"Perfil [Vista] de los Andes, de Loja a Quito",Francisco José de Caldas,1804,Pintura,Dibujo,papel,NI,NI,"Nieto Olarte, Mauricio. La obra cartográfica de Francisco José de Caldas. Bogota: Uniandes-ACCEFYN-ACH-ICANH, 2008","En informes y memorias Caldas proyecta la elaboración de una Carta botánica del Reino. Así, para este proyecto también prepara un acompañamiento visual. Dice que la obra tendrá 19 láminas de las cuales hay elaboradas a esa fecha. Además, detalla la manera como será elaborada la Carta Botánica del Reino. Afirma que «el lugar que ocupan los pueblos, las villas, las ciudades, las colinas, los arroyos, lo llenan las producciones vegetales del Virreinato» (Caldas, Informe 220). También afirma que no solo manifestará la localidad de las plantas, sino que ha formado perfiles de los Andes que suponen «el ojo del observador a muchas leguas de distancia al Occidente de esta famosa cadena de montañas» y «las proyecta al Oriente sobre un fondo azulado mezclado de nubes». De esta manera espera mostrar «la fisonomía de las puntas más elevadas, los volcanes, los pueblos, las ciudades, los valles, las plantas proyectadas a la altura en que nacen» y posibilitar que de una «simple ojeada», se pueda saber la «altura sobre el nivel del Océano y qué latitud tiene cada ciudad, cada punto de estos perfiles» (Caldas, Informe 220). Entre los documentos cartográficos de Caldas se pueden observar 2 series de láminas con perfiles de los Andes que probablemente estén relacionadas con las mencionadas en su informe. En la lámina de la primera serie llamada Perfil [Vista] de los Andes, de Loja a Quito, se puede observar al volcán Chimborazo coronando el panorama.",1750 - 1810,Montañas andinas,Ecuador,NA,19d108Dch7YkQ5a2Xf4czmG_RzLvN27k6,vertical,http://www.saebogota.unal.edu.co/DIRACAD/catedras/2016_II/huellas_2016_II/docs/Mapas%20de%20Caldas-2016.pdf,Colombia,NA,NA,NA,NA,NA,NA,NA,NA,fondo,mapa,manuscrito,true,123.jpg
117,Ceroxylon Andicola,Alexander von Humboldt,1808,Grabado,Grabado,papel,NI,NI,"Alexander von Humboldt y Aimé Bonpland, Voyage de Humboldt et Bonpland. Sixième partie, Botanique. Plantes équinoxiales recueillies au Mexique, dans l’île de Cuba, dans les provinces de Caracas, de Cumana et de Barcelone; aux Andes de la Nouvelle-Grenade. De Quito et du Pérou, et sur les bords du Rio-Negro, de l ’Orénoque et de la rivière des Amazonesc (Humboldt y Bonpland, 1808-1809) I: II.","En Plantes équinoxiales de 1808 se puede encontrar una justificación de carácter geográfico para haber seguido la ruta del camino del Quindío. Esta es la de que Mutis, a quien dedican el libro con un cuidado frontispicio, no pudo visitarla. Los naturalistas refieren haber encontrado en este paisaje “vegetales muy valiosos” . Tal vez una de las plantas que más les hayan interesado sea la Palma de cerca o Ceroxylon andicola. Sobre esta planta es el primer artículo de Plantes équinoxiales, una transcripción de la memoria leída por Bonpland en la primera clase del Institut France, el 14 de brumario del año 13, es decir, 14 de noviembre de 1804. La elevación sobre el nivel del mar en la que encontraron esta planta presenta para Humboldt y Bonpland “un fenómeno muy sorprendente para la geografía de los vegetales”. Esto es porque las palmas suelen encontrarse máximo a 900 metros sobre el nivel del mar, mientras que la Ceroxylon puede hallarse entre los 1750 metros hasta los 2800 metros. ",1750 - 1810,Montañas andinas,Colombia,Quindío,19Vusrrg_5IvZFDsgqKGFm8PSsracWOn8,vertical,https://gallica.bnf.fr/ark:/12148/bpt6k61310k/f2.item,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,figura,ilustración botánica,libro,true,124.jpg
118,José Celestino Mutis,Alexander von Humboldt,1808,Grabado,Grabado,papel,NI,NI,"Alexander von Humboldt y Aimé Bonpland, Voyage de Humboldt et Bonpland. Sixième partie, Botanique. Plantes équinoxiales recueillies au Mexique, dans l’île de Cuba, dans les provinces de Caracas, de Cumana et de Barcelone; aux Andes de la Nouvelle-Grenade. De Quito et du Pérou, et sur les bords du Rio-Negro, de l ’Orénoque et de la rivière des Amazonesc (Humboldt y Bonpland, 1808-1809) I: II.","En Plantes équinoxiales de 1808 se puede encontrar una justificación de carácter geográfico para haber seguido la ruta del camino del Quindío. Esta es la de que Mutis, a quien dedican el libro con un cuidado frontispicio, no pudo visitarla. Los naturalistas refieren haber encontrado en este paisaje “vegetales muy valiosos” . Tal vez una de las plantas que más les hayan interesado sea la Palma de cerca o Ceroxylon andicola. Sobre esta planta es el primer artículo de Plantes équinoxiales, una transcripción de la memoria leída por Bonpland en la primera clase del Institut France, el 14 de brumario del año 13, es decir, 14 de noviembre de 1804. La elevación sobre el nivel del mar en la que encontraron esta planta presenta para Humboldt y Bonpland “un fenómeno muy sorprendente para la geografía de los vegetales”. Esto es porque las palmas suelen encontrarse máximo a 900 metros sobre el nivel del mar, mientras que la Ceroxylon puede hallarse entre los 1750 metros hasta los 2800 metros. ",1750 - 1810,Montañas andinas,Colombia,Quindío,19Q177IV0LN0c76Y1dEr4AqBLq2SZcyek,vertical,https://gallica.bnf.fr/ark:/12148/bpt6k61310k/f2.item,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,figura,efigie,libro,true,125.jpg
119,Página del diario de Humboldt,Alexander von Humboldt,1802,Pintura,Dibujo,papel,NI,NI,"Tagebücher der Amerikanischen Reise VIIa/b: Rio de la Magdalena – Bogota – Zuindice – Popayan – Quito (Antisana, Pichincha) Pasto Volcan, p. 190 Zolima p 164. Accedido 11 de abril de 2023. https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN779883861&PHYSID=PHYS_0001&view=overview-tiles.","Los cargueros en efecto ofician como guías y permiten atravesar el difícil camino, no solo por su fuerza física, sino por el conocimiento que tienen del paisaje que habitan. Ellos conocen los signos del terreno, del clima y la utilidad de las plantas. El mismo carguero que en la imagen se queda mirando al espectador y que tiene la silla vacía, lleva en sus manos unas hojas de Bijao que, el relato nos comenta, más adelante servirán para hacer las tiendas y resguardarse de la lluvia. Sobre estas había hecho un dibujo en el diario. ",1750 - 1810,Montañas andinas,Colombia,Quindío,197OWklEn065umqualbisCPu6Etic4nPm,humboldt,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN779883861&PHYSID=PHYS_0419&view=overview-toc&DMDID=DMDLOG_0001,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,figura,diario,manuscrito,true,126.jpg
120,Página del diario de Humboldt,Alexander von Humboldt,1802,Pintura,Dibujo,papel,NI,NI,"Tagebücher der Amerikanischen Reise VIIa/b: Rio de la Magdalena – Bogota – Zuindice – Popayan – Quito (Antisana, Pichincha) Pasto Volcan, p. 190 Zolima p 164. Accedido 11 de abril de 2023. https://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN779883861&PHYSID=PHYS_0001&view=overview-tiles.","En la parte derecha, en primer plano de la V lámina de Vues, aparece un Fique o Agave florecido. Esta planta permite la elaboración de las cuerdas que amarran las hojas de Bijao  y aseguran las tiendas. En los diarios aparecen unos dibujos de las tiendas especificando el modo de amarrarlas para que se sostengan.  En el relato se consideran estas plantas desde el punto de vista de su ubicación geográfica en relación con la altitud, desde el punto de vista taxonómico al ser categorizados en familias y especies, y desde el punto de vista de su utilidad al ser mostrados sus usos industriales. ",1750 - 1810,Montañas andinas,Colombia,Quindío,18wRCrzuoxHsXR2ViOy5GdeDXqwOCB_i0,humboldt,https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN779883861&PHYSID=PHYS_0418&view=overview-toc&DMDID=DMDLOG_0001,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,figura,diario,manuscrito,true,127.jpg
121,Passage du Quindiu dans le Cordillère des Andes (Detalle Agave),Alexander von Humboldt. Christian Friedrich Duttenhofer (Grab.). Joseph Anton Koch (Dibj.),1810,Grabado,Grabado,papel,NI,NI,"Vues des Cordillères, et Monuments des Peuples indigènes de l’Amérique, (París: Schoell, 1810)","la lámina V de Vues acerca del paso del Quindío ha sido utilizada en numerosas ocasiones como ejemplo de las concepciones de Humboldt acerca de las relaciones entre el arte y la ciencia con relación a la posibilidad de presentar sensiblemente la naturaleza vertical americana. El lazo de complementariedad entre las imágenes también se fundamenta en la importancia que tuvo la vegetación del Quindío para la formulación de la Geografía de las plantas. Algo que es reafirmado por el viaje que Caldas nunca pudo realizar a los Andes del Quindío para complementar las observaciones de Humboldt, que nos permite imaginarnos una imagen sobre este paisaje que no pudo ser hecha. Oliver Lubrich se refiere a la lámina V de Vues como un dibujo de perspectiva múltiple diseñado desde las posiciones de diferentes disciplinas, y abierta a diversas lecturas. La imagen puede ofrecer gozo estético, a la vez que informaciones relevantes a botánicos, geólogos, mineralogistas y meteorólogos. Esto porque se ven allí plantas, paisajes, formaciones de nubes, perfiles geológicos, poblados, un valle interandino, la cordillera oriental, múltiples señas que dan cuenta del clima, la vegetación, la ubicación y las actividades sociales y productivas que se llevan a cabo con las plantas y los recursos naturales en general. Además, cuenta una historia de carácter sociológico y “políticamente explosiva” relacionada con los cargueros que conforman la fila de viajeros y que escenifican una serie de oposiciones y complejidades propias del montañoso mundo Andino, de la sociedad colonial y de una sociedad global en proceso de transformación. Allí vemos un carguero que mira fijamente al espectador mientras camina con su silla vacía, probablemente aquella que debió ocupar Humboldt, quien rehusó usar el servicio. En este sentido, podría decirse que la imagen es “cuadro o escena de naturaleza” que presenta una organización cuidadosa del paisaje de manera que variados fenómenos naturales y culturales interactúen y den cuenta de un funcionamiento orgánico. Sin embargo, la imagen no puede ser leída sin tener en cuenta sus relaciones y tensiones con el texto escrito que la describe que se encuentra en Vues",1750 - 1810,Montañas andinas,Colombia,Quindío,18tOJ4dsac0Dl5Rt7wUVyLOuIKT0b0Xk9,humboldt,https://library.si.edu/digital-library/book/vuesdescordille2humb,Alemania,NA,NA,NA,NA,NA,NA,NA,NA,equilibrio,vista,libro,true,128.jpg
122,Passage du Quindiu dans le Cordillère des Andes (Detalle Villanero con Bijao),Alexander von Humboldt. Christian Friedrich Duttenhofer (Grab.). Joseph Anton Koch (Dibj.),1810,Grabado,Grabado,papel,NI,NI,"Vues des Cordillères, et Monuments des Peuples indigènes de l’Amérique, (París: Schoell, 1810)","la lámina V de Vues acerca del paso del Quindío ha sido utilizada en numerosas ocasiones como ejemplo de las concepciones de Humboldt acerca de las relaciones entre el arte y la ciencia con relación a la posibilidad de presentar sensiblemente la naturaleza vertical americana. El lazo de complementariedad entre las imágenes también se fundamenta en la importancia que tuvo la vegetación del Quindío para la formulación de la Geografía de las plantas. Algo que es reafirmado por el viaje que Caldas nunca pudo realizar a los Andes del Quindío para complementar las observaciones de Humboldt, que nos permite imaginarnos una imagen sobre este paisaje que no pudo ser hecha. Oliver Lubrich se refiere a la lámina V de Vues como un dibujo de perspectiva múltiple diseñado desde las posiciones de diferentes disciplinas, y abierta a diversas lecturas. La imagen puede ofrecer gozo estético, a la vez que informaciones relevantes a botánicos, geólogos, mineralogistas y meteorólogos. Esto porque se ven allí plantas, paisajes, formaciones de nubes, perfiles geológicos, poblados, un valle interandino, la cordillera oriental, múltiples señas que dan cuenta del clima, la vegetación, la ubicación y las actividades sociales y productivas que se llevan a cabo con las plantas y los recursos naturales en general. Además, cuenta una historia de carácter sociológico y “políticamente explosiva” relacionada con los cargueros que conforman la fila de viajeros y que escenifican una serie de oposiciones y complejidades propias del montañoso mundo Andino, de la sociedad colonial y de una sociedad global en proceso de transformación. Allí vemos un carguero que mira fijamente al espectador mientras camina con su silla vacía, probablemente aquella que debió ocupar Humboldt, quien rehusó usar el servicio. En este sentido, podría decirse que la imagen es “cuadro o escena de naturaleza” que presenta una organización cuidadosa del paisaje de manera que variados fenómenos naturales y culturales interactúen y den cuenta de un funcionamiento orgánico. Sin embargo, la imagen no puede ser leída sin tener en cuenta sus relaciones y tensiones con el texto escrito que la describe que se encuentra en Vues",1750 - 1810,Montañas andinas,Colombia,Quindío,18qu_4gmfADZWISqKFv7kPeadlrTGOSrL,humboldt,https://library.si.edu/digital-library/book/vuesdescordille2humb,Alemania,bijao,caminando,libro,5,espectador,frente,atras,masculino,equilibrio,vista,libro,true,129.jpg
